location,duration
"Albany, Gentry County, MO",12
"Auxvasse, Audrain County, MO",10
"Brunswick, Carroll County, MO",19
"Cardwell, Dunklin County, MO",16
"Charleston, Mississippi County, MO",16
"Clarkton, Dunklin County, MO",14
"Columbia-Sanborn Field, Boone County, MO",14
"Columbia-South Farms, Boone County, MO",14
"Cook Station, Crawford County, MO",19
"Corning, Atchison County, MO",13
"Delta, Cape Girardeau County, MO",16
"Glennonville, Dunklin County, MO",15
"Hayward, Pemiscot County, MO",15
"Lamar, Barton County, MO",10
"Linneus, Linn County, MO",9
"Monroe City, Monroe County, MO",12
"Novelty, Knox County, MO",13
"Portageville, Pemiscot County, MO",16
"St. Joseph, Buchanan County, MO",17
