location,duration
"Albany, Gentry County, MO",2.5
"Brunswick, Carroll County, MO",1.0
"Charleston, Mississippi County, MO",1.5
"Clarkton, Dunklin County, MO",1.0
"Columbia-Sanborn Field, Boone County, MO",1.0
"Columbia-South Farms, Boone County, MO",1.0
"Cook Station, Crawford County, MO",3.0
"Corning, Atchison County, MO",1.5
"Glennonville, Dunklin County, MO",1.0
"Hayward, Pemiscot County, MO",2.0
"Lamar, Barton County, MO",1.6666666666666667
"Linneus, Linn County, MO",1.5
"Monroe City, Monroe County, MO",1.0
"Novelty, Knox County, MO",2.0
"Portageville, Pemiscot County, MO",1.6666666666666667
"St. Joseph, Buchanan County, MO",1.5
