location,SPI,frequency
"Albany, Gentry County, MO",-0.1,136
"Auxvasse, Audrain County, MO",-0.1,146
"Brunswick, Carroll County, MO",-0.1,136
"Cardwell, Dunklin County, MO",-0.1,134
"Charleston, Mississippi County, MO",-0.1,135
"Clarkton, Dunklin County, MO",-0.1,129
"Columbia-Sanborn Field, Boone County, MO",-0.1,123
"Columbia-South Farms, Boone County, MO",-0.1,127
"Cook Station, Crawford County, MO",-0.1,132
"Corning, Atchison County, MO",-0.1,139
"Delta, Cape Girardeau County, MO",-0.1,138
"Glennonville, Dunklin County, MO",-0.1,140
"Hayward, Pemiscot County, MO",-0.1,128
"Lamar, Barton County, MO",-0.1,123
"Linneus, Linn County, MO",-0.1,144
"Monroe City, Monroe County, MO",-0.1,136
"Novelty, Knox County, MO",-0.1,147
"Portageville, Pemiscot County, MO",-0.1,141
"St. Joseph, Buchanan County, MO",-0.1,124
