location,SPI,frequency
"Albany, Gentry County, MO",-1.0,50
"Auxvasse, Audrain County, MO",-1.0,55
"Brunswick, Carroll County, MO",-1.0,50
"Cardwell, Dunklin County, MO",-1.0,45
"Charleston, Mississippi County, MO",-1.0,52
"Clarkton, Dunklin County, MO",-1.0,46
"Columbia-Sanborn Field, Boone County, MO",-1.0,55
"Columbia-South Farms, Boone County, MO",-1.0,58
"Cook Station, Crawford County, MO",-1.0,46
"Corning, Atchison County, MO",-1.0,49
"Delta, Cape Girardeau County, MO",-1.0,55
"Glennonville, Dunklin County, MO",-1.0,50
"Hayward, Pemiscot County, MO",-1.0,42
"Lamar, Barton County, MO",-1.0,55
"Linneus, Linn County, MO",-1.0,44
"Monroe City, Monroe County, MO",-1.0,52
"Novelty, Knox County, MO",-1.0,48
"Portageville, Pemiscot County, MO",-1.0,46
"St. Joseph, Buchanan County, MO",-1.0,49
