location,SPI,frequency
"Albany, Gentry County, MO",-1.8,16
"Auxvasse, Audrain County, MO",-1.8,5
"Brunswick, Carroll County, MO",-1.8,14
"Cardwell, Dunklin County, MO",-1.8,17
"Charleston, Mississippi County, MO",-1.8,13
"Clarkton, Dunklin County, MO",-1.8,16
"Columbia-Sanborn Field, Boone County, MO",-1.8,12
"Columbia-South Farms, Boone County, MO",-1.8,9
"Cook Station, Crawford County, MO",-1.8,15
"Corning, Atchison County, MO",-1.8,9
"Delta, Cape Girardeau County, MO",-1.8,8
"Glennonville, Dunklin County, MO",-1.8,12
"Hayward, Pemiscot County, MO",-1.8,14
"Lamar, Barton County, MO",-1.8,13
"Linneus, Linn County, MO",-1.8,7
"Monroe City, Monroe County, MO",-1.8,8
"Novelty, Knox County, MO",-1.8,7
"Portageville, Pemiscot County, MO",-1.8,16
"St. Joseph, Buchanan County, MO",-1.8,17
