location,SPI,frequency
"Albany, Gentry County, MO",-1.3,36
"Auxvasse, Audrain County, MO",-1.3,34
"Brunswick, Carroll County, MO",-1.3,35
"Cardwell, Dunklin County, MO",-1.3,31
"Charleston, Mississippi County, MO",-1.3,36
"Clarkton, Dunklin County, MO",-1.3,35
"Columbia-Sanborn Field, Boone County, MO",-1.3,38
"Columbia-South Farms, Boone County, MO",-1.3,35
"Cook Station, Crawford County, MO",-1.3,30
"Corning, Atchison County, MO",-1.3,27
"Delta, Cape Girardeau County, MO",-1.3,33
"Glennonville, Dunklin County, MO",-1.3,34
"Hayward, Pemiscot County, MO",-1.3,30
"Lamar, Barton County, MO",-1.3,35
"Linneus, Linn County, MO",-1.3,26
"Monroe City, Monroe County, MO",-1.3,33
"Novelty, Knox County, MO",-1.3,22
"Portageville, Pemiscot County, MO",-1.3,29
"St. Joseph, Buchanan County, MO",-1.3,38
