location,SPI,start_date,end_date,duration
"Hayward, Pemiscot County, MO",-1.6,16,18,2
"Hayward, Pemiscot County, MO",-1.6,19,21,2
"Hayward, Pemiscot County, MO",-1.6,73,76,3
"Hayward, Pemiscot County, MO",-1.6,89,92,3
"Hayward, Pemiscot County, MO",-1.6,129,133,4
"Hayward, Pemiscot County, MO",-1.6,149,153,4
"Hayward, Pemiscot County, MO",-1.6,180,181,1
"Hayward, Pemiscot County, MO",-1.6,205,206,1
"Hayward, Pemiscot County, MO",-1.6,291,292,1
"Lamar, Barton County, MO",-1.6,34,38,4
"Lamar, Barton County, MO",-1.6,71,72,1
"Lamar, Barton County, MO",-1.6,73,75,2
"Lamar, Barton County, MO",-1.6,82,83,1
"Lamar, Barton County, MO",-1.6,171,177,6
"Linneus, Linn County, MO",-1.6,37,40,3
"Linneus, Linn County, MO",-1.6,71,72,1
"Linneus, Linn County, MO",-1.6,134,135,1
"Linneus, Linn County, MO",-1.6,166,169,3
"Linneus, Linn County, MO",-1.6,172,173,1
"Linneus, Linn County, MO",-1.6,219,220,1
"Linneus, Linn County, MO",-1.6,222,224,2
"Linneus, Linn County, MO",-1.6,282,283,1
"Monroe City, Monroe County, MO",-1.6,36,38,2
"Monroe City, Monroe County, MO",-1.6,39,40,1
"Monroe City, Monroe County, MO",-1.6,53,54,1
"Monroe City, Monroe County, MO",-1.6,66,68,2
"Monroe City, Monroe County, MO",-1.6,134,136,2
"Monroe City, Monroe County, MO",-1.6,139,142,3
"Monroe City, Monroe County, MO",-1.6,149,150,1
"Monroe City, Monroe County, MO",-1.6,151,152,1
"Monroe City, Monroe County, MO",-1.6,183,184,1
"Monroe City, Monroe County, MO",-1.6,197,198,1
"Monroe City, Monroe County, MO",-1.6,286,287,1
"Monroe City, Monroe County, MO",-1.6,289,290,1
"Novelty, Knox County, MO",-1.6,36,39,3
"Novelty, Knox County, MO",-1.6,134,135,1
"Novelty, Knox County, MO",-1.6,171,173,2
"Novelty, Knox County, MO",-1.6,183,184,1
"Novelty, Knox County, MO",-1.6,205,206,1
"Novelty, Knox County, MO",-1.6,282,287,5
"Novelty, Knox County, MO",-1.6,289,290,1
"Portageville, Pemiscot County, MO",-1.6,11,13,2
"Portageville, Pemiscot County, MO",-1.6,16,17,1
"Portageville, Pemiscot County, MO",-1.6,19,21,2
"Portageville, Pemiscot County, MO",-1.6,71,72,1
"Portageville, Pemiscot County, MO",-1.6,73,76,3
"Portageville, Pemiscot County, MO",-1.6,89,92,3
"Portageville, Pemiscot County, MO",-1.6,130,133,3
"Portageville, Pemiscot County, MO",-1.6,149,154,5
"Portageville, Pemiscot County, MO",-1.6,291,292,1
"St. Joseph, Buchanan County, MO",-1.6,26,27,1
"St. Joseph, Buchanan County, MO",-1.6,31,32,1
"St. Joseph, Buchanan County, MO",-1.6,34,39,5
"St. Joseph, Buchanan County, MO",-1.6,134,135,1
"St. Joseph, Buchanan County, MO",-1.6,151,157,6
"St. Joseph, Buchanan County, MO",-1.6,219,223,4
