12/01/2005 0.5
spi frequency percentage rankingpercentile
-2.1 2 2.33 3.03
-1.8 2 2.33 6.06
-1.6 3 3.49 9.09
-1.4 1 1.16 12.12
-1.2 5 5.81 15.15
-1.1 3 3.49 18.18
-0.9 2 2.33 21.21
-0.8 2 2.33 24.24
-0.7 2 2.33 27.27
-0.6 2 2.33 30.3
-0.5 5 5.81 33.33
-0.4 2 2.33 36.36
-0.2 5 5.81 39.39
-0.1 5 5.81 42.42
0 3 3.49 45.45
0.1 1 1.16 48.48
0.2 6 6.98 51.52
0.3 1 1.16 54.55
0.4 6 6.98 57.58
0.5 4 4.65 60.61
0.6 3 3.49 63.64
0.7 3 3.49 66.67
0.8 2 2.33 69.7
1 1 1.16 72.73
1.1 3 3.49 75.76
1.2 2 2.33 78.79
1.3 1 1.16 81.82
1.4 4 4.65 84.85
1.5 1 1.16 87.88
1.7 1 1.16 90.91
1.9 1 1.16 93.94
2.2 1 1.16 96.97
2.3 1 1.16 100
