10/01/2008 0.61
spi frequency percentage rankingpercentile
-2.9 1 0.55 2.27
-2.4 2 1.1 4.55
-2.1 1 0.55 6.82
-1.9 1 0.55 9.09
-1.8 1 0.55 11.36
-1.7 4 2.21 13.64
-1.6 2 1.1 15.91
-1.5 1 0.55 18.18
-1.4 2 1.1 20.45
-1.3 3 1.66 22.73
-1.2 3 1.66 25
-1.1 5 2.76 27.27
-1 6 3.31 29.55
-0.9 7 3.87 31.82
-0.8 2 1.1 34.09
-0.7 6 3.31 36.36
-0.6 7 3.87 38.64
-0.5 5 2.76 40.91
-0.4 8 4.42 43.18
-0.3 7 3.87 45.45
-0.2 2 1.1 47.73
-0.1 8 4.42 50
0 8 4.42 52.27
0.1 6 3.31 54.55
0.2 12 6.63 56.82
0.3 9 4.97 59.09
0.4 3 1.66 61.36
0.5 3 1.66 63.64
0.6 10 5.52 65.91
0.7 4 2.21 68.18
0.8 3 1.66 70.45
0.9 5 2.76 72.73
1 8 4.42 75
1.1 6 3.31 77.27
1.2 3 1.66 79.55
1.3 4 2.21 81.82
1.4 2 1.1 84.09
1.5 3 1.66 86.36
1.7 1 0.55 88.64
2 1 0.55 90.91
2.1 1 0.55 93.18
2.2 3 1.66 95.45
2.4 1 0.55 97.73
2.6 1 0.55 100
