01/01/2000 0.66
spi frequency percentage rankingpercentile
-3 1 0.35 2.08
-2.8 2 0.7 4.17
-2.7 1 0.35 6.25
-2.4 1 0.35 8.33
-2.3 2 0.7 10.42
-2.2 1 0.35 12.5
-2 1 0.35 14.58
-1.9 1 0.35 16.67
-1.8 3 1.05 18.75
-1.7 1 0.35 20.83
-1.6 4 1.4 22.92
-1.5 2 0.7 25
-1.4 5 1.75 27.08
-1.3 5 1.75 29.17
-1.2 10 3.51 31.25
-1.1 6 2.11 33.33
-1 6 2.11 35.42
-0.9 7 2.46 37.5
-0.8 5 1.75 39.58
-0.7 5 1.75 41.67
-0.6 8 2.81 43.75
-0.5 6 2.11 45.83
-0.4 12 4.21 47.92
-0.3 8 2.81 50
-0.2 13 4.56 52.08
-0.1 13 4.56 54.17
0 15 5.26 56.25
0.1 14 4.91 58.33
0.2 6 2.11 60.42
0.3 12 4.21 62.5
0.4 16 5.61 64.58
0.5 10 3.51 66.67
0.6 7 2.46 68.75
0.7 10 3.51 70.83
0.8 6 2.11 72.92
0.9 8 2.81 75
1 8 2.81 77.08
1.1 7 2.46 79.17
1.2 8 2.81 81.25
1.3 4 1.4 83.33
1.4 4 1.4 85.42
1.5 4 1.4 87.5
1.6 6 2.11 89.58
1.7 2 0.7 91.67
1.8 2 0.7 93.75
1.9 2 0.7 95.83
2 3 1.05 97.92
2.2 2 0.7 100
