05/01/2000 0.0
spi frequency percentage rankingpercentile
-2.9 1 0.35 2.17
-2.4 2 0.71 4.35
-2.3 1 0.35 6.52
-2.2 1 0.35 8.7
-2.1 3 1.06 10.87
-1.9 2 0.71 13.04
-1.8 5 1.77 15.22
-1.7 3 1.06 17.39
-1.6 1 0.35 19.57
-1.5 5 1.77 21.74
-1.4 4 1.42 23.91
-1.3 5 1.77 26.09
-1.2 7 2.48 28.26
-1.1 4 1.42 30.43
-1 3 1.06 32.61
-0.9 4 1.42 34.78
-0.8 4 1.42 36.96
-0.7 9 3.19 39.13
-0.6 13 4.61 41.3
-0.5 12 4.26 43.48
-0.4 8 2.84 45.65
-0.3 8 2.84 47.83
-0.2 13 4.61 50
-0.1 20 7.09 52.17
0 14 4.96 54.35
0.1 8 2.84 56.52
0.2 10 3.55 58.7
0.3 9 3.19 60.87
0.4 14 4.96 63.04
0.5 11 3.9 65.22
0.6 9 3.19 67.39
0.7 5 1.77 69.57
0.8 10 3.55 71.74
0.9 7 2.48 73.91
1 4 1.42 76.09
1.1 6 2.13 78.26
1.2 2 0.71 80.43
1.3 8 2.84 82.61
1.4 4 1.42 84.78
1.5 3 1.06 86.96
1.6 1 0.35 89.13
1.7 5 1.77 91.3
1.8 7 2.48 93.48
1.9 1 0.35 95.65
2 2 0.71 97.83
2.2 4 1.42 100
