08/01/2000 1.22
spi frequency percentage rankingpercentile
-3.1 1 0.36 2.08
-2.8 2 0.72 4.17
-2.7 1 0.36 6.25
-2.5 1 0.36 8.33
-2 2 0.72 10.42
-1.9 3 1.08 12.5
-1.8 2 0.72 14.58
-1.7 3 1.08 16.67
-1.6 4 1.43 18.75
-1.5 4 1.43 20.83
-1.4 1 0.36 22.92
-1.3 4 1.43 25
-1.2 5 1.79 27.08
-1.1 5 1.79 29.17
-1 8 2.87 31.25
-0.9 5 1.79 33.33
-0.8 6 2.15 35.42
-0.7 13 4.66 37.5
-0.6 9 3.23 39.58
-0.5 8 2.87 41.67
-0.4 15 5.38 43.75
-0.3 14 5.02 45.83
-0.2 9 3.23 47.92
-0.1 6 2.15 50
0 10 3.58 52.08
0.1 6 2.15 54.17
0.2 13 4.66 56.25
0.3 9 3.23 58.33
0.4 17 6.09 60.42
0.5 10 3.58 62.5
0.6 10 3.58 64.58
0.7 15 5.38 66.67
0.8 9 3.23 68.75
0.9 5 1.79 70.83
1 6 2.15 72.92
1.1 7 2.51 75
1.2 4 1.43 77.08
1.3 5 1.79 79.17
1.4 2 0.72 81.25
1.5 6 2.15 83.33
1.6 1 0.36 85.42
1.7 1 0.36 87.5
1.8 3 1.08 89.58
2 1 0.36 91.67
2.1 4 1.43 93.75
2.2 2 0.72 95.83
2.5 1 0.36 97.92
2.8 1 0.36 100
