10/01/2007 0.0
spi frequency percentage rankingpercentile
-2.7 1 0.52 2.33
-2.5 2 1.04 4.65
-2.4 2 1.04 6.98
-2.1 1 0.52 9.3
-1.8 1 0.52 11.63
-1.7 4 2.07 13.95
-1.6 1 0.52 16.28
-1.5 3 1.55 18.6
-1.4 2 1.04 20.93
-1.2 3 1.55 23.26
-1.1 3 1.55 25.58
-1 6 3.11 27.91
-0.9 8 4.15 30.23
-0.8 7 3.63 32.56
-0.7 6 3.11 34.88
-0.6 7 3.63 37.21
-0.5 8 4.15 39.53
-0.4 4 2.07 41.86
-0.3 9 4.66 44.19
-0.2 4 2.07 46.51
-0.1 5 2.59 48.84
0 10 5.18 51.16
0.1 11 5.7 53.49
0.2 13 6.74 55.81
0.3 4 2.07 58.14
0.4 7 3.63 60.47
0.5 6 3.11 62.79
0.6 10 5.18 65.12
0.7 6 3.11 67.44
0.8 6 3.11 69.77
0.9 2 1.04 72.09
1 3 1.55 74.42
1.1 6 3.11 76.74
1.2 2 1.04 79.07
1.3 3 1.55 81.4
1.4 3 1.55 83.72
1.7 5 2.59 86.05
1.8 3 1.55 88.37
2.1 1 0.52 90.7
2.2 1 0.52 93.02
2.3 1 0.52 95.35
2.4 2 1.04 97.67
2.5 1 0.52 100
