0,1,2,3,4,5,6
12/01/2012,06/01/2013,6,-1.86,-8.05,-1.34,-1.49
03/01/2014,03/01/2015,12,-3.16,-13.16,-1.1,-0.9
06/01/2018,04/01/2019,10,-1.9,-11.62,-1.16,-1.17
