location,duration
"Albany, Gentry County, MO",19
"Auxvasse, Audrain County, MO",9
"Brunswick, Carroll County, MO",11
"Cardwell, Dunklin County, MO",12
"Charleston, Mississippi County, MO",11
"Clarkton, Dunklin County, MO",11
"Columbia-Sanborn Field, Boone County, MO",9
"Columbia-South Farms, Boone County, MO",10
"Cook Station, Crawford County, MO",12
"Corning, Atchison County, MO",12
"Delta, Cape Girardeau County, MO",11
"Glennonville, Dunklin County, MO",15
"Hayward, Pemiscot County, MO",14
"Lamar, Barton County, MO",21
"Linneus, Linn County, MO",13
"Monroe City, Monroe County, MO",12
"Novelty, Knox County, MO",12
"Portageville, Pemiscot County, MO",13
"St. Joseph, Buchanan County, MO",14
