location,duration
"Albany, Gentry County, MO",1.5466666666666666
"Auxvasse, Audrain County, MO",1.5217391304347827
"Brunswick, Carroll County, MO",1.578125
"Cardwell, Dunklin County, MO",1.4848484848484849
"Charleston, Mississippi County, MO",1.6923076923076923
"Clarkton, Dunklin County, MO",1.6056338028169015
"Columbia-Sanborn Field, Boone County, MO",1.7258064516129032
"Columbia-South Farms, Boone County, MO",1.6507936507936507
"Cook Station, Crawford County, MO",1.7096774193548387
"Corning, Atchison County, MO",1.5070422535211268
"Delta, Cape Girardeau County, MO",1.547945205479452
"Glennonville, Dunklin County, MO",1.661764705882353
"Hayward, Pemiscot County, MO",1.6376811594202898
"Lamar, Barton County, MO",1.9473684210526316
"Linneus, Linn County, MO",1.5
"Monroe City, Monroe County, MO",1.6153846153846154
"Novelty, Knox County, MO",1.7575757575757576
"Portageville, Pemiscot County, MO",1.71875
"St. Joseph, Buchanan County, MO",1.6056338028169015
