location,duration
"Albany, Gentry County, MO",1.8421052631578947
"Auxvasse, Audrain County, MO",2.1739130434782608
"Brunswick, Carroll County, MO",1.7721518987341771
"Cardwell, Dunklin County, MO",2.08955223880597
"Charleston, Mississippi County, MO",2.0140845070422535
"Clarkton, Dunklin County, MO",1.9726027397260273
"Columbia-Sanborn Field, Boone County, MO",2.1846153846153844
"Columbia-South Farms, Boone County, MO",2.0434782608695654
"Cook Station, Crawford County, MO",1.917808219178082
"Corning, Atchison County, MO",1.9342105263157894
"Delta, Cape Girardeau County, MO",2.0422535211267605
"Glennonville, Dunklin County, MO",2.0869565217391304
"Hayward, Pemiscot County, MO",2.0
"Lamar, Barton County, MO",2.1641791044776117
"Linneus, Linn County, MO",1.8205128205128205
"Monroe City, Monroe County, MO",2.054054054054054
"Novelty, Knox County, MO",2.0985915492957745
"Portageville, Pemiscot County, MO",2.0434782608695654
"St. Joseph, Buchanan County, MO",1.896103896103896
