location,duration
"Albany, Gentry County, MO",108
"Auxvasse, Audrain County, MO",114
"Brunswick, Carroll County, MO",106
"Cardwell, Dunklin County, MO",109
"Charleston, Mississippi County, MO",110
"Clarkton, Dunklin County, MO",116
"Columbia-Sanborn Field, Boone County, MO",110
"Columbia-South Farms, Boone County, MO",107
"Cook Station, Crawford County, MO",105
"Corning, Atchison County, MO",107
"Delta, Cape Girardeau County, MO",116
"Glennonville, Dunklin County, MO",111
"Hayward, Pemiscot County, MO",107
"Lamar, Barton County, MO",104
"Linneus, Linn County, MO",103
"Monroe City, Monroe County, MO",115
"Novelty, Knox County, MO",111
"Portageville, Pemiscot County, MO",106
"St. Joseph, Buchanan County, MO",100
