location,duration
"Albany, Gentry County, MO",7
"Auxvasse, Audrain County, MO",9
"Brunswick, Carroll County, MO",13
"Cardwell, Dunklin County, MO",6
"Charleston, Mississippi County, MO",6
"Clarkton, Dunklin County, MO",11
"Columbia-Sanborn Field, Boone County, MO",8
"Columbia-South Farms, Boone County, MO",9
"Cook Station, Crawford County, MO",10
"Corning, Atchison County, MO",11
"Delta, Cape Girardeau County, MO",10
"Glennonville, Dunklin County, MO",6
"Hayward, Pemiscot County, MO",11
"Lamar, Barton County, MO",8
"Linneus, Linn County, MO",14
"Monroe City, Monroe County, MO",10
"Novelty, Knox County, MO",10
"Portageville, Pemiscot County, MO",9
"St. Joseph, Buchanan County, MO",11
