location,duration
"Albany, Gentry County, MO",124
"Auxvasse, Audrain County, MO",122
"Brunswick, Carroll County, MO",117
"Cardwell, Dunklin County, MO",119
"Charleston, Mississippi County, MO",116
"Clarkton, Dunklin County, MO",122
"Columbia-Sanborn Field, Boone County, MO",115
"Columbia-South Farms, Boone County, MO",118
"Cook Station, Crawford County, MO",119
"Corning, Atchison County, MO",117
"Delta, Cape Girardeau County, MO",130
"Glennonville, Dunklin County, MO",122
"Hayward, Pemiscot County, MO",115
"Lamar, Barton County, MO",121
"Linneus, Linn County, MO",116
"Monroe City, Monroe County, MO",123
"Novelty, Knox County, MO",125
"Portageville, Pemiscot County, MO",118
"St. Joseph, Buchanan County, MO",106
