location,duration
"Albany, Gentry County, MO",29
"Auxvasse, Audrain County, MO",30
"Brunswick, Carroll County, MO",28
"Cardwell, Dunklin County, MO",27
"Charleston, Mississippi County, MO",37
"Clarkton, Dunklin County, MO",28
"Columbia-Sanborn Field, Boone County, MO",28
"Columbia-South Farms, Boone County, MO",28
"Cook Station, Crawford County, MO",31
"Corning, Atchison County, MO",36
"Delta, Cape Girardeau County, MO",27
"Glennonville, Dunklin County, MO",29
"Hayward, Pemiscot County, MO",27
"Lamar, Barton County, MO",32
"Linneus, Linn County, MO",30
"Monroe City, Monroe County, MO",28
"Novelty, Knox County, MO",32
"Portageville, Pemiscot County, MO",31
"St. Joseph, Buchanan County, MO",37
