location,duration
"Albany, Gentry County, MO",65
"Auxvasse, Audrain County, MO",57
"Brunswick, Carroll County, MO",58
"Cardwell, Dunklin County, MO",67
"Charleston, Mississippi County, MO",67
"Clarkton, Dunklin County, MO",62
"Columbia-Sanborn Field, Boone County, MO",68
"Columbia-South Farms, Boone County, MO",68
"Cook Station, Crawford County, MO",58
"Corning, Atchison County, MO",62
"Delta, Cape Girardeau County, MO",62
"Glennonville, Dunklin County, MO",63
"Hayward, Pemiscot County, MO",62
"Lamar, Barton County, MO",59
"Linneus, Linn County, MO",62
"Monroe City, Monroe County, MO",61
"Novelty, Knox County, MO",66
"Portageville, Pemiscot County, MO",56
"St. Joseph, Buchanan County, MO",60
