location,duration
"Brunswick, Carroll County, MO",2
"Cardwell, Dunklin County, MO",3
"Charleston, Mississippi County, MO",2
"Clarkton, Dunklin County, MO",1
"Columbia-Sanborn Field, Boone County, MO",2
"Columbia-South Farms, Boone County, MO",2
"Cook Station, Crawford County, MO",8
"Corning, Atchison County, MO",1
"Hayward, Pemiscot County, MO",4
"Lamar, Barton County, MO",1
"Linneus, Linn County, MO",2
"Monroe City, Monroe County, MO",2
"Novelty, Knox County, MO",2
"Portageville, Pemiscot County, MO",4
"St. Joseph, Buchanan County, MO",4
