location,duration
"Albany, Gentry County, MO",9
"Auxvasse, Audrain County, MO",6
"Brunswick, Carroll County, MO",8
"Cardwell, Dunklin County, MO",8
"Charleston, Mississippi County, MO",7
"Clarkton, Dunklin County, MO",6
"Columbia-Sanborn Field, Boone County, MO",13
"Columbia-South Farms, Boone County, MO",5
"Cook Station, Crawford County, MO",10
"Corning, Atchison County, MO",6
"Delta, Cape Girardeau County, MO",9
"Glennonville, Dunklin County, MO",5
"Hayward, Pemiscot County, MO",8
"Lamar, Barton County, MO",11
"Linneus, Linn County, MO",4
"Monroe City, Monroe County, MO",5
"Novelty, Knox County, MO",8
"Portageville, Pemiscot County, MO",10
"St. Joseph, Buchanan County, MO",12
