location,SPI,frequency
"Albany, Gentry County, MO",-4.7,
"Auxvasse, Audrain County, MO",-4.7,
"Brunswick, Carroll County, MO",-4.7,
"Cardwell, Dunklin County, MO",-4.7,
"Charleston, Mississippi County, MO",-4.7,
"Clarkton, Dunklin County, MO",-4.7,
"Columbia-Sanborn Field, Boone County, MO",-4.7,
"Columbia-South Farms, Boone County, MO",-4.7,
"Cook Station, Crawford County, MO",-4.7,
"Corning, Atchison County, MO",-4.7,
"Delta, Cape Girardeau County, MO",-4.7,
"Glennonville, Dunklin County, MO",-4.7,
"Hayward, Pemiscot County, MO",-4.7,
"Lamar, Barton County, MO",-4.7,
"Linneus, Linn County, MO",-4.7,
"Monroe City, Monroe County, MO",-4.7,
"Novelty, Knox County, MO",-4.7,
"Portageville, Pemiscot County, MO",-4.7,
"St. Joseph, Buchanan County, MO",-4.7,
