location,SPI,frequency
"Albany, Gentry County, MO",-2.1,1.4
"Auxvasse, Audrain County, MO",-2.1,2.0
"Brunswick, Carroll County, MO",-2.1,1.6
"Cardwell, Dunklin County, MO",-2.1,1.8333333333333333
"Charleston, Mississippi County, MO",-2.1,1.8
"Clarkton, Dunklin County, MO",-2.1,1.5
"Columbia-Sanborn Field, Boone County, MO",-2.1,1.8
"Columbia-South Farms, Boone County, MO",-2.1,1.4
"Cook Station, Crawford County, MO",-2.1,1.4
"Corning, Atchison County, MO",-2.1,1.0
"Delta, Cape Girardeau County, MO",-2.1,1.5
"Glennonville, Dunklin County, MO",-2.1,1.1666666666666667
"Hayward, Pemiscot County, MO",-2.1,1.5
"Lamar, Barton County, MO",-2.1,1.0
"Linneus, Linn County, MO",-2.1,1.5
"Monroe City, Monroe County, MO",-2.1,1.0
"Novelty, Knox County, MO",-2.1,1.4
"Portageville, Pemiscot County, MO",-2.1,2.75
"St. Joseph, Buchanan County, MO",-2.1,1.75
