location,SPI,frequency
"Albany, Gentry County, MO",-2.4,1.3333333333333333
"Auxvasse, Audrain County, MO",-2.4,1.0
"Brunswick, Carroll County, MO",-2.4,1.25
"Cardwell, Dunklin County, MO",-2.4,1.8
"Charleston, Mississippi County, MO",-2.4,1.0
"Clarkton, Dunklin County, MO",-2.4,1.6666666666666667
"Columbia-Sanborn Field, Boone County, MO",-2.4,1.0
"Columbia-South Farms, Boone County, MO",-2.4,1.5
"Cook Station, Crawford County, MO",-2.4,1.0
"Corning, Atchison County, MO",-2.4,1.0
"Delta, Cape Girardeau County, MO",-2.4,1.3333333333333333
"Glennonville, Dunklin County, MO",-2.4,1.2
"Hayward, Pemiscot County, MO",-2.4,1.5
"Lamar, Barton County, MO",-2.4,1.0
"Linneus, Linn County, MO",-2.4,1.0
"Monroe City, Monroe County, MO",-2.4,1.0
"Novelty, Knox County, MO",-2.4,1.3333333333333333
"Portageville, Pemiscot County, MO",-2.4,2.0
"St. Joseph, Buchanan County, MO",-2.4,1.6666666666666667
