location,SPI,frequency
"Albany, Gentry County, MO",-2.2,1.6666666666666667
"Auxvasse, Audrain County, MO",-2.2,3.0
"Brunswick, Carroll County, MO",-2.2,1.6666666666666667
"Cardwell, Dunklin County, MO",-2.2,1.5
"Charleston, Mississippi County, MO",-2.2,1.25
"Clarkton, Dunklin County, MO",-2.2,2.0
"Columbia-Sanborn Field, Boone County, MO",-2.2,1.0
"Columbia-South Farms, Boone County, MO",-2.2,1.5
"Cook Station, Crawford County, MO",-2.2,1.1428571428571428
"Corning, Atchison County, MO",-2.2,4.0
"Delta, Cape Girardeau County, MO",-2.2,4.0
"Glennonville, Dunklin County, MO",-2.2,1.0
"Hayward, Pemiscot County, MO",-2.2,1.2
"Lamar, Barton County, MO",-2.2,1.25
"Linneus, Linn County, MO",-2.2,1.5
"Monroe City, Monroe County, MO",-2.2,1.0
"Novelty, Knox County, MO",-2.2,1.5
"Portageville, Pemiscot County, MO",-2.2,2.3333333333333335
"St. Joseph, Buchanan County, MO",-2.2,1.8333333333333333
