location,SPI,frequency
"Albany, Gentry County, MO",-1.8,3.2
"Auxvasse, Audrain County, MO",-1.8,1.6666666666666667
"Brunswick, Carroll County, MO",-1.8,2.3333333333333335
"Cardwell, Dunklin County, MO",-1.8,2.125
"Charleston, Mississippi County, MO",-1.8,1.625
"Clarkton, Dunklin County, MO",-1.8,3.2
"Columbia-Sanborn Field, Boone County, MO",-1.8,2.4
"Columbia-South Farms, Boone County, MO",-1.8,2.25
"Cook Station, Crawford County, MO",-1.8,3.0
"Corning, Atchison County, MO",-1.8,1.2857142857142858
"Delta, Cape Girardeau County, MO",-1.8,2.6666666666666665
"Glennonville, Dunklin County, MO",-1.8,2.4
"Hayward, Pemiscot County, MO",-1.8,1.75
"Lamar, Barton County, MO",-1.8,2.6
"Linneus, Linn County, MO",-1.8,1.4
"Monroe City, Monroe County, MO",-1.8,1.6
"Novelty, Knox County, MO",-1.8,1.1666666666666667
"Portageville, Pemiscot County, MO",-1.8,2.2857142857142856
"St. Joseph, Buchanan County, MO",-1.8,2.8333333333333335
