location,SPI,frequency
"Albany, Gentry County, MO",-2.3,
"Auxvasse, Audrain County, MO",-2.3,
"Brunswick, Carroll County, MO",-2.3,1.5
"Cardwell, Dunklin County, MO",-2.3,1.6666666666666667
"Charleston, Mississippi County, MO",-2.3,1.0
"Clarkton, Dunklin County, MO",-2.3,
"Columbia-Sanborn Field, Boone County, MO",-2.3,2.0
"Columbia-South Farms, Boone County, MO",-2.3,2.0
"Cook Station, Crawford County, MO",-2.3,3.5
"Corning, Atchison County, MO",-2.3,1.0
"Delta, Cape Girardeau County, MO",-2.3,
"Glennonville, Dunklin County, MO",-2.3,
"Hayward, Pemiscot County, MO",-2.3,1.6666666666666667
"Lamar, Barton County, MO",-2.3,
"Linneus, Linn County, MO",-2.3,1.0
"Monroe City, Monroe County, MO",-2.3,1.0
"Novelty, Knox County, MO",-2.3,1.0
"Portageville, Pemiscot County, MO",-2.3,1.6666666666666667
"St. Joseph, Buchanan County, MO",-2.3,2.6666666666666665
