location,duration
"Albany, Gentry County, MO",1.5
"Brunswick, Carroll County, MO",1.6666666666666667
"Cardwell, Dunklin County, MO",2.2
"Charleston, Mississippi County, MO",3.5
"Clarkton, Dunklin County, MO",1.0
"Columbia-Sanborn Field, Boone County, MO",2.0
"Columbia-South Farms, Boone County, MO",1.5
"Cook Station, Crawford County, MO",5.5
"Corning, Atchison County, MO",2.0
"Delta, Cape Girardeau County, MO",1.0
"Glennonville, Dunklin County, MO",1.5
"Hayward, Pemiscot County, MO",2.0
"Lamar, Barton County, MO",2.5
"Linneus, Linn County, MO",2.0
"Monroe City, Monroe County, MO",1.5
"Novelty, Knox County, MO",1.5
"Portageville, Pemiscot County, MO",1.6666666666666667
"St. Joseph, Buchanan County, MO",3.2
