location,duration
"Albany, Gentry County, MO",45
"Auxvasse, Audrain County, MO",42
"Brunswick, Carroll County, MO",44
"Cardwell, Dunklin County, MO",39
"Charleston, Mississippi County, MO",44
"Clarkton, Dunklin County, MO",40
"Columbia-Sanborn Field, Boone County, MO",24
"Columbia-South Farms, Boone County, MO",49
"Cook Station, Crawford County, MO",40
"Corning, Atchison County, MO",40
"Delta, Cape Girardeau County, MO",41
"Glennonville, Dunklin County, MO",40
"Hayward, Pemiscot County, MO",33
"Lamar, Barton County, MO",40
"Linneus, Linn County, MO",31
"Monroe City, Monroe County, MO",46
"Novelty, Knox County, MO",21
"Portageville, Pemiscot County, MO",39
"St. Joseph, Buchanan County, MO",43
