location,duration
"Albany, Gentry County, MO",100
"Auxvasse, Audrain County, MO",85
"Brunswick, Carroll County, MO",71
"Cardwell, Dunklin County, MO",85
"Charleston, Mississippi County, MO",93
"Clarkton, Dunklin County, MO",98
"Columbia-Sanborn Field, Boone County, MO",78
"Columbia-South Farms, Boone County, MO",76
"Cook Station, Crawford County, MO",99
"Corning, Atchison County, MO",99
"Delta, Cape Girardeau County, MO",100
"Glennonville, Dunklin County, MO",95
"Hayward, Pemiscot County, MO",89
"Lamar, Barton County, MO",88
"Linneus, Linn County, MO",107
"Monroe City, Monroe County, MO",92
"Novelty, Knox County, MO",91
"Portageville, Pemiscot County, MO",77
"St. Joseph, Buchanan County, MO",91
