location,duration
"Albany, Gentry County, MO",105
"Auxvasse, Audrain County, MO",94
"Brunswick, Carroll County, MO",81
"Cardwell, Dunklin County, MO",96
"Charleston, Mississippi County, MO",105
"Clarkton, Dunklin County, MO",103
"Columbia-Sanborn Field, Boone County, MO",84
"Columbia-South Farms, Boone County, MO",85
"Cook Station, Crawford County, MO",102
"Corning, Atchison County, MO",106
"Delta, Cape Girardeau County, MO",115
"Glennonville, Dunklin County, MO",104
"Hayward, Pemiscot County, MO",99
"Lamar, Barton County, MO",94
"Linneus, Linn County, MO",120
"Monroe City, Monroe County, MO",100
"Novelty, Knox County, MO",105
"Portageville, Pemiscot County, MO",92
"St. Joseph, Buchanan County, MO",99
