location,duration
"Albany, Gentry County, MO",63
"Auxvasse, Audrain County, MO",53
"Brunswick, Carroll County, MO",60
"Cardwell, Dunklin County, MO",51
"Charleston, Mississippi County, MO",62
"Clarkton, Dunklin County, MO",59
"Columbia-Sanborn Field, Boone County, MO",44
"Columbia-South Farms, Boone County, MO",70
"Cook Station, Crawford County, MO",63
"Corning, Atchison County, MO",62
"Delta, Cape Girardeau County, MO",68
"Glennonville, Dunklin County, MO",61
"Hayward, Pemiscot County, MO",48
"Lamar, Barton County, MO",65
"Linneus, Linn County, MO",60
"Monroe City, Monroe County, MO",54
"Novelty, Knox County, MO",54
"Portageville, Pemiscot County, MO",49
"St. Joseph, Buchanan County, MO",59
