location,duration
"Albany, Gentry County, MO",90
"Auxvasse, Audrain County, MO",76
"Brunswick, Carroll County, MO",58
"Cardwell, Dunklin County, MO",77
"Charleston, Mississippi County, MO",81
"Clarkton, Dunklin County, MO",90
"Columbia-Sanborn Field, Boone County, MO",71
"Columbia-South Farms, Boone County, MO",70
"Cook Station, Crawford County, MO",88
"Corning, Atchison County, MO",89
"Delta, Cape Girardeau County, MO",95
"Glennonville, Dunklin County, MO",84
"Hayward, Pemiscot County, MO",77
"Lamar, Barton County, MO",85
"Linneus, Linn County, MO",94
"Monroe City, Monroe County, MO",82
"Novelty, Knox County, MO",82
"Portageville, Pemiscot County, MO",68
"St. Joseph, Buchanan County, MO",82
