location,duration
"Albany, Gentry County, MO",35
"Auxvasse, Audrain County, MO",31
"Brunswick, Carroll County, MO",32
"Cardwell, Dunklin County, MO",31
"Charleston, Mississippi County, MO",32
"Clarkton, Dunklin County, MO",35
"Columbia-Sanborn Field, Boone County, MO",21
"Columbia-South Farms, Boone County, MO",30
"Cook Station, Crawford County, MO",29
"Corning, Atchison County, MO",25
"Delta, Cape Girardeau County, MO",29
"Glennonville, Dunklin County, MO",32
"Hayward, Pemiscot County, MO",28
"Lamar, Barton County, MO",33
"Linneus, Linn County, MO",22
"Monroe City, Monroe County, MO",31
"Novelty, Knox County, MO",11
"Portageville, Pemiscot County, MO",29
"St. Joseph, Buchanan County, MO",35
