location,duration
"Albany, Gentry County, MO",1
"Auxvasse, Audrain County, MO",2
"Brunswick, Carroll County, MO",1
"Cardwell, Dunklin County, MO",1
"Charleston, Mississippi County, MO",2
"Clarkton, Dunklin County, MO",1
"Columbia-Sanborn Field, Boone County, MO",3
"Columbia-South Farms, Boone County, MO",1
"Cook Station, Crawford County, MO",1
"Corning, Atchison County, MO",1
"Delta, Cape Girardeau County, MO",1
"Glennonville, Dunklin County, MO",1
"Hayward, Pemiscot County, MO",1
"Lamar, Barton County, MO",1
"Linneus, Linn County, MO",1
"Monroe City, Monroe County, MO",1
"Novelty, Knox County, MO",1
"Portageville, Pemiscot County, MO",1
"St. Joseph, Buchanan County, MO",1
