location,SPI,frequency
"Albany, Gentry County, MO",-2.3,5
"Auxvasse, Audrain County, MO",-2.3,3
"Brunswick, Carroll County, MO",-2.3,8
"Cardwell, Dunklin County, MO",-2.3,4
"Charleston, Mississippi County, MO",-2.3,1
"Clarkton, Dunklin County, MO",-2.3,4
"Columbia-Sanborn Field, Boone County, MO",-2.3,4
"Columbia-South Farms, Boone County, MO",-2.3,5
"Cook Station, Crawford County, MO",-2.3,5
"Corning, Atchison County, MO",-2.3,3
"Delta, Cape Girardeau County, MO",-2.3,2
"Glennonville, Dunklin County, MO",-2.3,3
"Hayward, Pemiscot County, MO",-2.3,4
"Lamar, Barton County, MO",-2.3,5
"Linneus, Linn County, MO",-2.3,6
"Monroe City, Monroe County, MO",-2.3,4
"Novelty, Knox County, MO",-2.3,3
"Portageville, Pemiscot County, MO",-2.3,5
"St. Joseph, Buchanan County, MO",-2.3,5
