location,SPI,frequency
"Albany, Gentry County, MO",-2.2,5
"Auxvasse, Audrain County, MO",-2.2,4
"Brunswick, Carroll County, MO",-2.2,9
"Cardwell, Dunklin County, MO",-2.2,5
"Charleston, Mississippi County, MO",-2.2,2
"Clarkton, Dunklin County, MO",-2.2,5
"Columbia-Sanborn Field, Boone County, MO",-2.2,6
"Columbia-South Farms, Boone County, MO",-2.2,5
"Cook Station, Crawford County, MO",-2.2,5
"Corning, Atchison County, MO",-2.2,5
"Delta, Cape Girardeau County, MO",-2.2,4
"Glennonville, Dunklin County, MO",-2.2,4
"Hayward, Pemiscot County, MO",-2.2,5
"Lamar, Barton County, MO",-2.2,7
"Linneus, Linn County, MO",-2.2,7
"Monroe City, Monroe County, MO",-2.2,5
"Novelty, Knox County, MO",-2.2,4
"Portageville, Pemiscot County, MO",-2.2,6
"St. Joseph, Buchanan County, MO",-2.2,6
