location,SPI,frequency
"Albany, Gentry County, MO",-2.8,0
"Auxvasse, Audrain County, MO",-2.8,0
"Brunswick, Carroll County, MO",-2.8,4
"Cardwell, Dunklin County, MO",-2.8,0
"Charleston, Mississippi County, MO",-2.8,0
"Clarkton, Dunklin County, MO",-2.8,0
"Columbia-Sanborn Field, Boone County, MO",-2.8,0
"Columbia-South Farms, Boone County, MO",-2.8,2
"Cook Station, Crawford County, MO",-2.8,2
"Corning, Atchison County, MO",-2.8,0
"Delta, Cape Girardeau County, MO",-2.8,0
"Glennonville, Dunklin County, MO",-2.8,0
"Hayward, Pemiscot County, MO",-2.8,2
"Lamar, Barton County, MO",-2.8,0
"Linneus, Linn County, MO",-2.8,1
"Monroe City, Monroe County, MO",-2.8,0
"Novelty, Knox County, MO",-2.8,1
"Portageville, Pemiscot County, MO",-2.8,3
"St. Joseph, Buchanan County, MO",-2.8,1
