location,SPI,frequency
"Albany, Gentry County, MO",-0.2,128
"Auxvasse, Audrain County, MO",-0.2,128
"Brunswick, Carroll County, MO",-0.2,122
"Cardwell, Dunklin County, MO",-0.2,124
"Charleston, Mississippi County, MO",-0.2,119
"Clarkton, Dunklin County, MO",-0.2,123
"Columbia-Sanborn Field, Boone County, MO",-0.2,125
"Columbia-South Farms, Boone County, MO",-0.2,125
"Cook Station, Crawford County, MO",-0.2,128
"Corning, Atchison County, MO",-0.2,120
"Delta, Cape Girardeau County, MO",-0.2,137
"Glennonville, Dunklin County, MO",-0.2,130
"Hayward, Pemiscot County, MO",-0.2,123
"Lamar, Barton County, MO",-0.2,126
"Linneus, Linn County, MO",-0.2,121
"Monroe City, Monroe County, MO",-0.2,128
"Novelty, Knox County, MO",-0.2,129
"Portageville, Pemiscot County, MO",-0.2,134
"St. Joseph, Buchanan County, MO",-0.2,112
