location,SPI,frequency
"Albany, Gentry County, MO",-1.4,25
"Auxvasse, Audrain County, MO",-1.4,25
"Brunswick, Carroll County, MO",-1.4,26
"Cardwell, Dunklin County, MO",-1.4,22
"Charleston, Mississippi County, MO",-1.4,31
"Clarkton, Dunklin County, MO",-1.4,23
"Columbia-Sanborn Field, Boone County, MO",-1.4,24
"Columbia-South Farms, Boone County, MO",-1.4,27
"Cook Station, Crawford County, MO",-1.4,29
"Corning, Atchison County, MO",-1.4,33
"Delta, Cape Girardeau County, MO",-1.4,24
"Glennonville, Dunklin County, MO",-1.4,25
"Hayward, Pemiscot County, MO",-1.4,26
"Lamar, Barton County, MO",-1.4,29
"Linneus, Linn County, MO",-1.4,29
"Monroe City, Monroe County, MO",-1.4,26
"Novelty, Knox County, MO",-1.4,28
"Portageville, Pemiscot County, MO",-1.4,30
"St. Joseph, Buchanan County, MO",-1.4,35
