location,SPI,frequency
"Albany, Gentry County, MO",-1.6,17
"Auxvasse, Audrain County, MO",-1.6,20
"Brunswick, Carroll County, MO",-1.6,19
"Cardwell, Dunklin County, MO",-1.6,22
"Charleston, Mississippi County, MO",-1.6,19
"Clarkton, Dunklin County, MO",-1.6,19
"Columbia-Sanborn Field, Boone County, MO",-1.6,20
"Columbia-South Farms, Boone County, MO",-1.6,21
"Cook Station, Crawford County, MO",-1.6,20
"Corning, Atchison County, MO",-1.6,17
"Delta, Cape Girardeau County, MO",-1.6,14
"Glennonville, Dunklin County, MO",-1.6,14
"Hayward, Pemiscot County, MO",-1.6,17
"Lamar, Barton County, MO",-1.6,20
"Linneus, Linn County, MO",-1.6,20
"Monroe City, Monroe County, MO",-1.6,20
"Novelty, Knox County, MO",-1.6,18
"Portageville, Pemiscot County, MO",-1.6,18
"St. Joseph, Buchanan County, MO",-1.6,19
