location,SPI,frequency
"Albany, Gentry County, MO",-0.8,68
"Auxvasse, Audrain County, MO",-0.8,60
"Brunswick, Carroll County, MO",-0.8,65
"Cardwell, Dunklin County, MO",-0.8,56
"Charleston, Mississippi County, MO",-0.8,65
"Clarkton, Dunklin County, MO",-0.8,62
"Columbia-Sanborn Field, Boone County, MO",-0.8,66
"Columbia-South Farms, Boone County, MO",-0.8,64
"Cook Station, Crawford County, MO",-0.8,67
"Corning, Atchison County, MO",-0.8,71
"Delta, Cape Girardeau County, MO",-0.8,67
"Glennonville, Dunklin County, MO",-0.8,66
"Hayward, Pemiscot County, MO",-0.8,62
"Lamar, Barton County, MO",-0.8,59
"Linneus, Linn County, MO",-0.8,67
"Monroe City, Monroe County, MO",-0.8,58
"Novelty, Knox County, MO",-0.8,64
"Portageville, Pemiscot County, MO",-0.8,64
"St. Joseph, Buchanan County, MO",-0.8,70
