location,SPI,frequency
"Albany, Gentry County, MO",-0.9,59
"Auxvasse, Audrain County, MO",-0.9,55
"Brunswick, Carroll County, MO",-0.9,59
"Cardwell, Dunklin County, MO",-0.9,52
"Charleston, Mississippi County, MO",-0.9,58
"Clarkton, Dunklin County, MO",-0.9,59
"Columbia-Sanborn Field, Boone County, MO",-0.9,53
"Columbia-South Farms, Boone County, MO",-0.9,56
"Cook Station, Crawford County, MO",-0.9,60
"Corning, Atchison County, MO",-0.9,58
"Delta, Cape Girardeau County, MO",-0.9,60
"Glennonville, Dunklin County, MO",-0.9,54
"Hayward, Pemiscot County, MO",-0.9,54
"Lamar, Barton County, MO",-0.9,50
"Linneus, Linn County, MO",-0.9,52
"Monroe City, Monroe County, MO",-0.9,56
"Novelty, Knox County, MO",-0.9,55
"Portageville, Pemiscot County, MO",-0.9,53
"St. Joseph, Buchanan County, MO",-0.9,64
