location,SPI,frequency
"Albany, Gentry County, MO",-0.4,109
"Auxvasse, Audrain County, MO",-0.4,99
"Brunswick, Carroll County, MO",-0.4,95
"Cardwell, Dunklin County, MO",-0.4,94
"Charleston, Mississippi County, MO",-0.4,103
"Clarkton, Dunklin County, MO",-0.4,110
"Columbia-Sanborn Field, Boone County, MO",-0.4,104
"Columbia-South Farms, Boone County, MO",-0.4,100
"Cook Station, Crawford County, MO",-0.4,97
"Corning, Atchison County, MO",-0.4,104
"Delta, Cape Girardeau County, MO",-0.4,106
"Glennonville, Dunklin County, MO",-0.4,110
"Hayward, Pemiscot County, MO",-0.4,105
"Lamar, Barton County, MO",-0.4,106
"Linneus, Linn County, MO",-0.4,103
"Monroe City, Monroe County, MO",-0.4,101
"Novelty, Knox County, MO",-0.4,108
"Portageville, Pemiscot County, MO",-0.4,105
"St. Joseph, Buchanan County, MO",-0.4,107
