location,SPI,frequency
"Albany, Gentry County, MO",-1.1,43
"Auxvasse, Audrain County, MO",-1.1,41
"Brunswick, Carroll County, MO",-1.1,46
"Cardwell, Dunklin County, MO",-1.1,38
"Charleston, Mississippi County, MO",-1.1,39
"Clarkton, Dunklin County, MO",-1.1,41
"Columbia-Sanborn Field, Boone County, MO",-1.1,41
"Columbia-South Farms, Boone County, MO",-1.1,43
"Cook Station, Crawford County, MO",-1.1,45
"Corning, Atchison County, MO",-1.1,43
"Delta, Cape Girardeau County, MO",-1.1,40
"Glennonville, Dunklin County, MO",-1.1,38
"Hayward, Pemiscot County, MO",-1.1,41
"Lamar, Barton County, MO",-1.1,39
"Linneus, Linn County, MO",-1.1,44
"Monroe City, Monroe County, MO",-1.1,46
"Novelty, Knox County, MO",-1.1,39
"Portageville, Pemiscot County, MO",-1.1,44
"St. Joseph, Buchanan County, MO",-1.1,44
