   MONTH       DAY      YEAR     TOTAL  
                                PRECIP  
                                INCHES  
      12        24      2009      0.42  
      12        25      2009      0.03  
      12        26      2009      0.00  
      12        27      2009      0.00  
      12        28      2009      0.01  
      12        29      2009      0.00  
      12        30      2009      0.09  
      12        31      2009      0.00  
       1         1      2010      0.00  
       1         2      2010      0.00  
       1         3      2010      0.00  
       1         4      2010      0.00  
       1         5      2010      0.00  
       1         6      2010      0.00  
       1         7      2010      0.00  
       1         8      2010      0.00  
       1         9      2010      0.00  
       1        10      2010      0.01  
       1        11      2010      0.01  
       1        12      2010      0.00  
       1        13      2010      0.02  
       1        14      2010      0.00  
       1        15      2010      0.00  
       1        16      2010      0.00  
       1        17      2010      0.01  
       1        18      2010      0.00  
       1        19      2010      0.02  
       1        20      2010      0.09  
       1        21      2010      0.23  
       1        22      2010      0.00  
       1        23      2010      1.04  
       1        24      2010      0.38  
       1        25      2010      0.00  
       1        26      2010      0.00  
       1        27      2010      0.01  
       1        28      2010      0.00  
       1        29      2010      0.00  
       1        30      2010      0.00  
       1        31      2010      0.00  
       2         1      2010      0.00  
       2         2      2010      0.00  
       2         3      2010      0.00  
       2         4      2010      0.00  
       2         5      2010      0.48  
       2         6      2010      0.05  
       2         7      2010      0.00  
       2         8      2010      0.10  
       2         9      2010      0.00  
       2        10      2010      0.00  
       2        11      2010      0.00  
       2        12      2010      0.02  
       2        13      2010      0.00  
       2        14      2010      0.00  
       2        15      2010      0.00  
       2        16      2010      0.02  
       2        17      2010      0.00  
       2        18      2010      0.00  
       2        19      2010      0.06  
       2        20      2010      0.31  
       2        21      2010      1.23  
       2        22      2010      0.01  
       2        23      2010      0.01  
       2        24      2010      0.00  
       2        25      2010      0.00  
       2        26      2010      0.00  
       2        27      2010      0.00  
       2        28      2010      0.00  
       3         1      2010      0.00  
       3         2      2010      0.00  
       3         3      2010      0.00  
       3         4      2010      0.00  
       3         5      2010      0.00  
       3         6      2010      0.00  
       3         7      2010      0.00  
       3         8      2010      0.00  
       3         9      2010      0.44  
       3        10      2010      0.66  
       3        11      2010      0.00  
       3        12      2010      0.07  
       3        13      2010      0.10  
       3        14      2010      0.07  
       3        15      2010      0.00  
       3        16      2010      0.00  
       3        17      2010      0.00  
       3        18      2010      0.00  
       3        19      2010      0.00  
       3        20      2010      0.42  
       3        21      2010      0.40  
       3        22      2010      0.00  
       3        23      2010      0.00  
       3        24      2010      0.12  
       3        25      2010      0.09  
       3        26      2010      0.00  
       3        27      2010      0.44  
       3        28      2010      0.15  
       3        29      2010      0.00  
       3        30      2010      0.00  
       3        31      2010      0.00  
       4         1      2010      0.00  
       4         2      2010      1.11  
       4         3      2010      0.00  
       4         4      2010      0.15  
       4         5      2010      0.00  
       4         6      2010      0.00  
       4         7      2010      0.37  
       4         8      2010      0.00  
       4         9      2010      0.00  
       4        10      2010      0.00  
       4        11      2010      0.00  
       4        12      2010      0.00  
       4        13      2010      0.00  
       4        14      2010      0.00  
       4        15      2010      0.00  
       4        16      2010      0.01  
       4        17      2010      0.00  
       4        18      2010      0.00  
       4        19      2010      0.00  
       4        20      2010      0.00  
       4        21      2010      0.00  
       4        22      2010      0.30  
       4        23      2010      0.67  
       4        24      2010      4.05  
       4        25      2010      0.59  
       4        26      2010      0.05  
       4        27      2010      0.00  
       4        28      2010      0.00  
       4        29      2010      0.00  
       4        30      2010      0.43  
       5         1      2010      0.29  
       5         2      2010      0.12  
       5         3      2010      0.02  
       5         4      2010      0.00  
       5         5      2010      0.00  
       5         6      2010      0.00  
       5         7      2010      0.00  
       5         8      2010      0.00  
       5         9      2010      0.00  
       5        10      2010      1.09  
       5        11      2010      0.00  
       5        12      2010      0.75  
       5        13      2010      0.74  
       5        14      2010      0.00  
       5        15      2010      0.22  
       5        16      2010      0.17  
       5        17      2010      0.11  
       5        18      2010      0.00  
       5        19      2010      0.02  
       5        20      2010      0.69  
       5        21      2010      0.02  
       5        22      2010      0.00  
       5        23      2010      0.00  
       5        24      2010      0.00  
       5        25      2010      0.00  
       5        26      2010      0.00  
       5        27      2010      0.00  
       5        28      2010      0.00  
       5        29      2010      0.00  
       5        30      2010      0.00  
       5        31      2010      0.00  
       6         1      2010      0.00  
       6         2      2010      0.67  
       6         3      2010      0.00  
       6         4      2010      0.00  
       6         5      2010      0.00  
       6         6      2010      0.00  
       6         7      2010      0.00  
       6         8      2010      0.57  
       6         9      2010      0.02  
       6        10      2010      0.00  
       6        11      2010      0.08  
       6        12      2010      0.49  
       6        13      2010      0.06  
       6        14      2010      0.06  
       6        15      2010      0.19  
       6        16      2010      0.00  
       6        17      2010      0.02  
       6        18      2010      0.00  
       6        19      2010      0.45  
       6        20      2010      0.00  
       6        21      2010      0.00  
       6        22      2010      0.00  
       6        23      2010      0.41  
       6        24      2010      0.00  
       6        25      2010      0.00  
       6        26      2010      0.00  
       6        27      2010      0.27  
       6        28      2010      0.01  
