location,duration
"Albany, Gentry County, MO",117
"Auxvasse, Audrain County, MO",107
"Brunswick, Carroll County, MO",90
"Cardwell, Dunklin County, MO",105
"Charleston, Mississippi County, MO",116
"Clarkton, Dunklin County, MO",113
"Columbia-Sanborn Field, Boone County, MO",91
"Columbia-South Farms, Boone County, MO",90
"Cook Station, Crawford County, MO",110
"Corning, Atchison County, MO",121
"Delta, Cape Girardeau County, MO",125
"Glennonville, Dunklin County, MO",116
"Hayward, Pemiscot County, MO",107
"Lamar, Barton County, MO",107
"Linneus, Linn County, MO",130
"Monroe City, Monroe County, MO",105
"Novelty, Knox County, MO",112
"Portageville, Pemiscot County, MO",114
"St. Joseph, Buchanan County, MO",108
