location,duration
"Albany, Gentry County, MO",142
"Auxvasse, Audrain County, MO",128
"Brunswick, Carroll County, MO",116
"Cardwell, Dunklin County, MO",141
"Charleston, Mississippi County, MO",143
"Clarkton, Dunklin County, MO",134
"Columbia-Sanborn Field, Boone County, MO",104
"Columbia-South Farms, Boone County, MO",112
"Cook Station, Crawford County, MO",122
"Corning, Atchison County, MO",149
"Delta, Cape Girardeau County, MO",146
"Glennonville, Dunklin County, MO",142
"Hayward, Pemiscot County, MO",134
"Lamar, Barton County, MO",105
"Linneus, Linn County, MO",139
"Monroe City, Monroe County, MO",123
"Novelty, Knox County, MO",127
"Portageville, Pemiscot County, MO",141
"St. Joseph, Buchanan County, MO",109
